num_visits,location,total_minutes_on_demo,user_age,demo_source,data_rows_input,operating_system,users_in_network,outreach_emails_sent,support_tickets_filed,converted
6,Phoenix,152.9736073,48,conference,7972,Other,18,5,0,FALSE
6,Phoenix,252.3154852,50,website,3791,Windows,19,5,0,FALSE
7,New York,90.7035571,45,conference,9603,Windows,16,8,0,FALSE
5,San Diego,128.1592052,51,website,8601,Windows,16,5,2,FALSE
5,Las Vegas,149.3808594,48,email,3941,Windows,17,7,4,TRUE
8,Albany,61.6124956,39,website,9081,Windows,19,6,0,FALSE
8,Phoenix,79.20681737,47,email,9970,Windows,19,6,0,FALSE
12,Phoenix,99.8660602,33,referral,7595,OSX,32,8,1,FALSE
5,Denver,96.63897857,51,conference,9105,Other,15,7,1,FALSE
9,Kansas City,148.9895863,45,referral,11718,OSX,19,5,0,FALSE
5,Freehold,141.4868019,46,conference,6212,OSX,15,6,2,FALSE
8,Atlanta,98.44828744,40,referral,6841,Windows,27,6,1,FALSE
5,Columbus,183.5268388,51,website,13341,Other,21,5,1,FALSE
7,Denver,158.401948,45,email,13213,Windows,21,5,0,FALSE
5,San Diego,170.1791577,52,website,5684,Windows,14,7,2,FALSE
11,Tulsa,107.5893781,45,website,9317,Windows,23,7,0,FALSE
7,Boston,96.85935065,40,conference,8302,Windows,18,7,0,FALSE
6,Seattle,167.4951697,43,email,5934,Windows,21,5,0,FALSE
6,Austin,157.3538217,42,email,11664,Windows,8,5,0,FALSE
11,San Jose,105.7991299,45,conference,10167,Windows,22,5,1,TRUE
7,Chicago,19.91055336,45,conference,9298,Windows,12,4,2,FALSE
7,Tulsa,154.0537324,39,conference,11307,Windows,19,6,0,FALSE
5,Las Vegas,164.5606331,45,website,7426,OSX,23,6,0,TRUE
9,San Diego,135.8697766,47,referral,8471,Windows,18,5,0,FALSE
9,San Jose,224.7992735,51,website,9948,OSX,19,6,1,TRUE
6,Atlanta,155.9187112,39,referral,10618,OSX,20,5,0,TRUE
9,San Jose,216.4464712,45,website,8922,OSX,24,7,0,TRUE
7,Seattle,139.546691,34,website,9064,Windows,24,7,0,FALSE
5,San Diego,164.3922802,43,website,12259,Windows,15,5,0,FALSE
9,Tulsa,194.1845314,48,website,5652,OSX,24,6,0,TRUE
7,Albany,116.7779986,49,website,10704,Windows,14,7,0,FALSE
5,Albany,136.0106612,46,website,7985,Windows,19,7,1,FALSE
3,Columbus,169.8357553,51,conference,6848,OSX,14,6,2,FALSE
6,Los Angeles,149.9457396,47,email,12137,Windows,21,5,0,FALSE
8,San Diego,161.0914844,48,website,8881,OSX,19,7,2,TRUE
6,Chicago,157.7355922,49,email,8332,Windows,18,5,0,FALSE
8,Freehold,139.8405359,46,website,7161,Windows,23,6,2,TRUE
6,Chicago,151.9825958,45,website,11309,Windows,22,5,0,FALSE
7,Columbus,82.70291712,43,email,6034,Windows,14,6,2,FALSE
7,Freehold,92.23214496,48,conference,12500,Windows,15,6,0,FALSE
7,Denver,136.0313225,41,conference,12029,Other,22,5,0,FALSE
6,Memphis,165.5175617,53,conference,8789,Other,18,6,0,FALSE
4,Freehold,200.5108065,44,conference,13705,OSX,20,4,0,FALSE
10,Kansas City,89.54524918,45,conference,13636,Windows,23,7,1,TRUE
7,San Jose,137.8639706,50,email,10608,Windows,17,7,0,FALSE
8,Denver,195.9986861,51,website,7977,OSX,32,6,0,TRUE
8,Austin,202.1566925,51,conference,7812,OSX,18,5,0,TRUE
7,Las Vegas,140.728948,45,website,12467,Windows,22,6,1,FALSE
6,Austin,207.2103704,51,email,4656,OSX,14,6,0,FALSE
8,Chicago,152.0078114,47,website,11422,OSX,20,7,4,TRUE
6,Freehold,163.0216481,46,website,12730,Other,28,8,3,FALSE
9,Austin,207.8702295,46,conference,11629,OSX,26,6,0,TRUE
6,Boston,158.6113845,48,email,10527,Windows,11,6,0,FALSE
7,Denver,167.3664905,51,website,11451,OSX,16,6,4,TRUE
9,Los Angeles,215.1704066,49,conference,10551,OSX,26,7,1,TRUE
9,Atlanta,67.42346469,46,website,9259,Windows,14,6,0,FALSE
8,Los Angeles,175.3267518,41,website,10681,OSX,24,6,0,TRUE
7,Boston,147.478157,40,conference,9273,Windows,14,5,0,FALSE
5,San Jose,179.9013606,58,referral,13192,OSX,16,6,1,TRUE
6,Las Vegas,182.897322,35,website,13320,Windows,28,6,1,FALSE
10,Chicago,108.5189207,41,website,10432,Windows,27,5,4,TRUE
9,San Jose,140.5923676,46,website,5972,Windows,21,6,2,TRUE
7,New York,155.3036914,31,email,11710,Windows,24,6,0,FALSE
9,Memphis,127.0826666,45,referral,10277,Other,23,8,1,FALSE
8,Phoenix,148.553979,46,email,10346,Windows,15,6,0,FALSE
9,Seattle,161.3209954,34,website,10438,OSX,26,6,0,TRUE
5,Denver,163.675657,44,conference,8465,OSX,21,6,0,FALSE
5,Memphis,195.4175134,39,website,14588,Windows,29,8,2,FALSE
8,Chicago,211.3999033,41,website,10399,Windows,25,6,1,TRUE
7,Denver,139.3519513,35,email,9285,Windows,29,7,0,FALSE
5,Tulsa,150.7933132,46,email,8973,Other,17,6,0,FALSE
7,Albany,166.8652173,52,email,14226,OSX,26,4,3,FALSE
6,Boston,194.2420856,46,email,7650,Other,16,7,0,FALSE
4,Kansas City,170.3115762,47,conference,7662,OSX,20,5,0,FALSE
9,Memphis,103.4721978,50,email,13793,Windows,22,5,1,FALSE
6,New York,112.0783663,42,email,9000,Windows,20,6,0,FALSE
7,San Diego,68.90788994,44,website,9163,Windows,19,5,1,FALSE
8,San Jose,24.45710218,49,email,11812,Windows,14,7,0,FALSE
7,Las Vegas,75.99968561,44,email,11843,Windows,18,5,0,FALSE
7,Las Vegas,153.8876502,49,email,13804,OSX,24,4,1,FALSE
6,Las Vegas,168.2661735,38,email,12407,Windows,27,6,1,FALSE
10,Chicago,89.66277349,43,referral,7631,Windows,20,5,0,FALSE
8,Chicago,142.5391022,31,website,11001,OSX,35,6,2,FALSE
6,Albany,170.6561232,48,website,6264,Windows,22,7,1,FALSE
6,Boston,137.6112777,41,conference,12181,Windows,16,7,0,FALSE
9,Atlanta,142.3626607,45,email,14411,Other,21,8,2,TRUE
5,Boston,175.1149629,42,email,14143,Windows,24,5,1,FALSE
7,Columbus,159.0142144,54,referral,10761,Other,17,5,2,TRUE
6,Memphis,167.1179947,48,conference,11214,Other,20,8,0,FALSE
7,Seattle,124.7711234,48,website,4773,Windows,8,5,1,FALSE
8,San Jose,149.2802585,37,referral,11313,OSX,27,6,2,FALSE
7,Tulsa,168.6101471,49,conference,12688,OSX,18,7,0,FALSE
7,Chicago,163.6345776,44,website,7860,Windows,14,7,0,FALSE
8,San Diego,127.4359006,43,website,7041,Windows,17,6,0,FALSE
7,New York,153.8780274,50,email,11440,Other,17,6,0,FALSE
4,Phoenix,197.9575178,49,website,2334,OSX,12,6,3,TRUE
7,New York,182.8933392,50,conference,5989,OSX,11,6,0,TRUE
6,New York,168.1732364,52,website,11506,OSX,13,6,2,TRUE
9,San Jose,147.327407,47,referral,11403,OSX,28,7,3,FALSE
9,Los Angeles,130.6600539,56,email,10250,Other,18,6,0,FALSE
7,Kansas City,111.6542094,42,conference,10623,Windows,23,7,0,FALSE
10,Las Vegas,120.0882017,46,referral,9299,OSX,23,6,0,FALSE
7,Boston,147.689182,38,email,11200,Windows,22,6,0,TRUE
7,Memphis,155.0031266,45,referral,4529,Other,29,7,2,TRUE
5,Freehold,172.6121517,49,conference,5070,OSX,8,6,1,FALSE
7,Freehold,57.49509103,47,conference,8889,Other,12,5,1,FALSE
9,Las Vegas,139.4423317,38,email,10166,Windows,20,5,0,FALSE
7,Las Vegas,194.9649648,49,website,9686,OSX,23,7,0,TRUE
8,Kansas City,157.4686889,36,referral,12763,OSX,29,6,0,TRUE
9,Tulsa,158.5837733,48,email,13039,OSX,24,7,1,FALSE
6,New York,184.2813167,47,conference,14619,Windows,14,7,0,FALSE
6,San Diego,177.7789628,46,website,8344,OSX,17,5,2,TRUE
6,San Jose,181.293061,38,conference,7301,OSX,21,6,0,FALSE
7,San Diego,162.1770852,45,referral,12221,Other,17,5,0,FALSE
8,Boston,161.6262317,47,conference,12813,Windows,14,8,0,FALSE
7,Kansas City,43.54022688,54,conference,9976,Windows,11,6,2,FALSE
6,Seattle,170.6077385,41,conference,8995,Windows,23,6,0,FALSE
7,San Jose,141.3619181,39,website,11289,Windows,24,6,1,FALSE
9,Tulsa,173.1028334,46,conference,14748,OSX,27,8,0,TRUE
5,Los Angeles,168.3609693,49,referral,5287,Windows,38,6,3,TRUE
6,Boston,150.5737408,41,referral,10997,OSX,16,7,1,TRUE
10,Chicago,193.9071687,45,conference,10543,OSX,33,5,0,TRUE
7,New York,82.86661295,52,conference,8204,Windows,10,5,2,FALSE
9,Las Vegas,136.6147838,44,referral,9963,OSX,33,6,4,FALSE
11,Kansas City,151.9421576,43,conference,9261,Windows,24,7,1,TRUE
8,San Diego,114.3570808,24,referral,8369,Windows,35,6,2,FALSE
5,Atlanta,162.0489252,46,email,12473,Windows,11,6,0,FALSE
9,Phoenix,188.608605,41,email,12255,OSX,21,7,1,TRUE
9,Austin,128.4706657,44,website,10582,OSX,31,5,2,FALSE
12,Memphis,116.7330907,32,referral,8719,OSX,39,6,4,FALSE
5,Seattle,184.5373216,48,website,2665,Windows,10,6,3,FALSE
7,Atlanta,105.1757048,47,referral,7997,Windows,23,7,1,FALSE
7,Albany,126.7466117,45,email,7150,Windows,17,6,0,FALSE
6,Kansas City,134.640816,50,email,9354,Windows,15,5,0,FALSE
7,Las Vegas,160.9963879,47,referral,11030,Windows,35,6,1,TRUE
5,New York,150.9606608,37,conference,11063,Windows,18,6,0,FALSE
8,Las Vegas,134.9561706,37,referral,10186,Windows,15,7,0,FALSE
8,Denver,187.8657326,44,referral,10649,OSX,22,6,0,TRUE
7,Freehold,166.6127865,56,website,15357,Windows,13,6,2,TRUE
11,Albany,88.48137927,52,referral,7356,Windows,20,6,0,FALSE
7,Phoenix,145.4232527,41,website,9392,Windows,18,7,0,FALSE
9,Austin,130.9522201,42,website,11113,Windows,27,6,1,FALSE
7,Atlanta,143.8334715,34,email,10630,Windows,24,6,0,FALSE
7,Las Vegas,80.99036,40,conference,10716,Windows,20,6,0,FALSE
7,Chicago,131.6853535,48,website,11493,Windows,14,6,0,FALSE
6,Columbus,176.7503285,45,conference,13849,Other,23,7,0,FALSE
10,Seattle,208.0448494,48,conference,6630,OSX,26,6,0,TRUE
7,Chicago,92.06364373,42,conference,10981,Windows,17,6,0,FALSE
7,Chicago,159.6080485,49,email,8748,Windows,19,4,0,FALSE
6,Kansas City,146.55734,55,email,6164,Other,12,6,2,FALSE
5,Phoenix,164.7797664,52,conference,6153,OSX,7,8,1,FALSE
8,Kansas City,125.1145839,45,referral,9659,OSX,29,7,2,FALSE
8,Phoenix,186.1065801,52,referral,9965,Other,20,6,3,FALSE
5,Chicago,146.3954073,53,website,7843,Windows,20,5,1,FALSE
11,Freehold,90.07167385,33,referral,6587,Other,38,5,4,FALSE
7,Atlanta,140.6992202,43,website,10625,Windows,18,5,0,FALSE
8,Austin,159.3067677,41,email,11719,OSX,25,5,0,TRUE
5,Austin,152.4855408,49,website,7032,Windows,18,7,3,FALSE
8,Phoenix,121.0373028,53,referral,11269,Windows,36,6,3,TRUE
4,Atlanta,171.1184731,55,conference,6672,OSX,14,8,2,FALSE
7,Albany,154.4253595,39,website,9888,OSX,33,7,2,FALSE
9,Los Angeles,143.3199632,43,referral,10481,OSX,27,7,3,FALSE
6,Las Vegas,115.872957,44,email,8304,Windows,13,6,1,FALSE
6,Phoenix,172.6487453,48,conference,15347,Windows,17,7,0,FALSE
10,San Jose,122.217617,46,referral,9605,OSX,21,7,0,FALSE
7,Phoenix,186.8220041,51,email,4154,Windows,9,6,0,FALSE
6,New York,162.5030563,51,referral,12186,Windows,23,5,3,TRUE
6,Seattle,156.2554155,50,referral,11868,Other,18,5,3,TRUE
6,Columbus,139.398417,43,conference,6557,Windows,22,6,1,FALSE
5,Boston,111.5875641,47,email,7339,Windows,15,6,3,FALSE
9,Seattle,133.821793,37,referral,10412,Windows,23,8,0,FALSE
11,New York,113.7200592,38,website,8581,Windows,27,6,1,FALSE
7,Chicago,164.4946894,48,email,12229,Windows,18,4,0,FALSE
7,Columbus,141.6714885,47,email,11660,Windows,21,5,0,TRUE
6,Freehold,168.3931888,33,website,11855,Other,28,7,1,FALSE
12,Columbus,124.204436,39,conference,11733,OSX,15,6,4,TRUE
10,Los Angeles,262.147835,43,referral,6885,OSX,18,7,0,TRUE
7,Denver,148.6003003,33,referral,14653,Other,32,7,1,TRUE
6,Las Vegas,165.5480666,40,conference,9102,Windows,25,6,0,FALSE
7,Las Vegas,179.0024728,47,email,13307,Windows,15,6,0,TRUE
7,Las Vegas,176.4885407,32,referral,10516,OSX,29,7,1,FALSE
11,Chicago,213.8152322,44,conference,7316,OSX,29,6,0,TRUE
7,Seattle,142.9417754,44,conference,7031,Windows,19,6,0,FALSE
6,Memphis,159.9058723,42,email,12698,Windows,18,6,0,FALSE
8,Albany,143.1489682,43,website,10601,Other,22,5,0,FALSE
4,Las Vegas,168.2888941,47,website,4250,Windows,22,7,3,FALSE
7,Memphis,105.3894615,48,conference,11080,Windows,20,6,0,FALSE
8,Kansas City,150.4120219,46,website,10997,OSX,27,7,2,TRUE
6,Chicago,208.7054583,47,conference,3688,OSX,14,6,1,FALSE
8,Austin,164.8246569,52,referral,9849,Other,16,7,3,TRUE
8,Boston,168.4086093,48,referral,8771,Other,29,6,0,TRUE
4,Phoenix,146.6403752,43,conference,7431,Other,21,4,1,FALSE
10,New York,135.9583088,36,referral,9739,Other,31,6,2,FALSE
6,San Jose,122.2860878,44,conference,7704,Windows,20,6,1,FALSE
9,San Jose,131.0993935,47,referral,10402,Other,20,6,1,FALSE
8,Chicago,153.2578887,45,website,7885,Windows,27,7,3,TRUE
8,Memphis,137.1046513,45,email,7860,Windows,29,6,0,TRUE
3,Las Vegas,209.5203385,39,referral,12873,OSX,26,6,1,FALSE
6,Los Angeles,173.1598422,49,website,11395,OSX,19,6,1,TRUE
9,Tulsa,124.167967,41,referral,8375,Windows,26,6,1,FALSE
9,Freehold,126.9083379,40,referral,10060,Windows,17,7,0,FALSE
6,Albany,111.567076,51,conference,10214,OSX,14,6,0,FALSE
6,Los Angeles,162.0048509,51,referral,11670,Other,24,5,2,TRUE
4,Seattle,214.0101581,48,conference,6351,OSX,16,6,1,FALSE
10,Atlanta,132.1013912,43,email,12129,Other,22,7,1,FALSE
9,Memphis,171.1971979,44,conference,10442,OSX,21,7,0,TRUE
11,San Diego,130.3270256,44,website,11101,OSX,28,8,3,FALSE
5,Seattle,150.1231153,49,referral,11415,Windows,33,7,2,TRUE
8,Kansas City,200.9313517,47,website,7508,OSX,21,5,0,TRUE
5,Denver,174.4016915,34,email,12282,Windows,33,7,1,FALSE
7,Phoenix,135.0525003,40,website,11054,Windows,21,5,0,FALSE
5,Columbus,160.3824923,29,referral,7843,Windows,23,5,0,FALSE
5,Phoenix,243.1046158,50,conference,5966,OSX,15,6,0,FALSE
9,Boston,145.3909208,43,email,11511,Other,26,5,2,FALSE
7,Phoenix,184.3533342,47,website,8495,Windows,15,7,0,FALSE
7,Denver,125.3230633,39,email,13370,OSX,26,6,0,TRUE
6,Albany,117.8118335,53,referral,11537,Windows,22,6,4,TRUE
8,Seattle,186.1159561,41,conference,10729,Windows,15,7,1,TRUE
7,Columbus,103.4156061,45,email,9090,Windows,17,5,0,FALSE
9,Las Vegas,128.2936877,43,website,8574,Windows,17,6,0,FALSE
6,Austin,151.9319136,46,website,11341,Windows,16,6,0,FALSE
5,San Diego,145.3111881,52,email,9511,OSX,16,7,0,FALSE
10,Kansas City,76.32839555,33,referral,4529,OSX,31,7,1,FALSE
7,Kansas City,108.6200858,48,conference,6718,Windows,17,6,2,FALSE
4,Denver,163.5557367,48,conference,9771,Other,25,7,0,FALSE
8,Memphis,107.2567396,49,referral,8542,OSX,22,7,0,FALSE
10,Phoenix,146.9707146,42,website,11209,OSX,33,6,4,FALSE
9,Chicago,220.4924279,44,website,9192,OSX,25,6,0,TRUE
8,Memphis,110.3208334,43,website,8559,Windows,17,4,0,FALSE
6,Boston,139.1259558,50,website,10251,Other,15,6,3,TRUE
5,Boston,166.9760998,47,email,6590,Windows,22,6,0,FALSE
10,Chicago,100.1707461,42,email,10012,Other,18,5,4,TRUE
7,Memphis,127.9730082,50,email,7793,Windows,16,6,0,FALSE
10,San Diego,114.4511669,43,website,10223,Other,22,6,0,FALSE
5,Tulsa,157.9109805,44,conference,8197,OSX,16,7,0,FALSE
5,Las Vegas,158.8951384,43,email,11849,Windows,18,5,0,FALSE
9,New York,200.8361587,37,referral,12450,Other,20,6,2,TRUE
8,Tulsa,137.0738773,49,email,9880,Windows,8,6,0,FALSE
7,San Jose,161.4804013,51,conference,7745,Other,11,6,0,FALSE
7,New York,156.0861505,36,referral,10969,Other,16,8,1,TRUE
7,Chicago,60.74818305,46,email,10760,Windows,23,8,0,FALSE
11,New York,82.04944747,43,conference,13964,Windows,19,7,3,TRUE
9,Columbus,145.6236431,34,email,10904,Windows,30,7,0,FALSE
6,Albany,149.8329483,42,conference,6282,Other,17,6,1,FALSE
7,New York,115.6665364,41,website,8477,Windows,17,6,0,FALSE
7,Freehold,155.4561105,34,referral,10509,Windows,29,6,1,FALSE
6,San Diego,114.0654504,49,website,8247,Windows,12,5,1,FALSE
8,Denver,58.22437246,46,email,6676,Windows,17,6,3,FALSE
8,Seattle,120.0323039,48,email,10233,Windows,12,5,0,FALSE
7,New York,140.1460726,51,website,7997,Windows,14,7,0,FALSE
7,San Diego,125.1578169,44,website,8963,Windows,15,7,0,FALSE
7,San Jose,145.8207473,36,website,10661,Windows,29,5,0,FALSE
9,San Diego,200.0560386,44,email,11638,OSX,20,4,1,TRUE
9,Las Vegas,151.4809365,36,website,10673,Windows,26,6,0,FALSE
7,San Jose,92.17110347,50,email,10237,Windows,13,5,0,FALSE
7,Tulsa,123.103221,51,website,7626,Windows,10,7,1,FALSE
7,Seattle,181.882473,53,email,7579,Other,14,6,0,FALSE
7,Austin,141.5360612,48,email,6261,Windows,7,5,1,FALSE
10,Los Angeles,228.156087,41,referral,10069,OSX,20,6,1,TRUE
7,Phoenix,23.52666606,45,conference,10411,Windows,18,6,1,FALSE
8,Columbus,144.4724309,49,email,11776,Windows,22,6,1,TRUE
8,Los Angeles,183.8417804,39,referral,12624,OSX,23,7,1,TRUE
7,San Jose,121.2679334,45,email,6925,Windows,18,5,1,FALSE
6,Atlanta,124.1104861,44,conference,4829,Windows,15,7,2,FALSE
8,Boston,122.3784519,50,website,12154,Windows,24,6,1,TRUE
6,Phoenix,156.3740371,40,website,10658,Other,23,5,0,TRUE
7,Seattle,154.1552662,46,website,6712,Windows,13,7,0,FALSE
5,Seattle,151.6644326,41,email,10792,Windows,20,6,0,FALSE
5,Columbus,136.2331952,36,referral,9006,Windows,25,7,0,TRUE
8,San Jose,143.9247846,39,email,10257,OSX,26,5,2,FALSE
8,Tulsa,210.4930398,43,referral,9484,OSX,21,6,1,TRUE
6,Columbus,137.3168582,42,email,6318,Windows,18,6,1,FALSE
7,Denver,123.2344055,40,website,9817,Windows,22,7,0,FALSE
7,Las Vegas,153.8784657,32,referral,10689,Windows,24,7,0,FALSE
9,Boston,118.1519872,39,email,8451,Windows,37,8,3,TRUE
6,Austin,96.96483731,42,conference,7779,Other,14,5,0,FALSE
7,Albany,101.7013549,48,conference,6628,Other,17,3,2,FALSE
4,Las Vegas,200.136948,41,website,12328,Windows,16,7,0,FALSE
10,Denver,120.6200096,39,conference,8741,OSX,20,5,2,FALSE
12,New York,68.43700274,38,conference,10031,Windows,28,5,2,TRUE
9,Denver,222.1179433,42,referral,10307,OSX,24,5,0,TRUE
7,San Diego,142.1280092,50,conference,8357,Windows,14,8,0,FALSE
5,Tulsa,225.9665646,52,referral,10607,OSX,19,5,3,FALSE
4,Kansas City,134.3139392,51,conference,8897,OSX,18,6,1,FALSE
7,Seattle,133.5812717,41,referral,10531,OSX,36,4,0,TRUE
11,Las Vegas,143.9360924,45,email,11713,OSX,27,7,2,FALSE
8,Atlanta,103.4845762,37,referral,6533,Windows,18,5,0,FALSE
7,Las Vegas,175.772447,45,website,14156,OSX,24,6,1,FALSE
8,Kansas City,101.9640208,44,conference,11062,Windows,20,5,0,FALSE
8,Boston,112.4812523,46,conference,9491,Windows,18,5,0,FALSE
7,Phoenix,92.12746371,43,website,8977,Windows,19,6,0,TRUE
6,Denver,158.0121416,46,email,11766,Windows,13,6,0,FALSE
5,San Diego,186.6879598,48,conference,6917,OSX,17,5,0,FALSE
10,Los Angeles,103.8787947,42,website,9083,Windows,29,6,4,TRUE
7,Memphis,95.24377572,52,referral,8781,Windows,3,6,0,FALSE
9,Freehold,174.4088068,42,email,14004,OSX,29,7,1,FALSE
6,Phoenix,141.7420785,50,website,10389,Windows,21,7,3,TRUE
5,Memphis,194.5561255,60,referral,8769,Windows,30,6,1,TRUE
4,Austin,160.3850219,40,website,11443,Windows,22,5,0,FALSE
8,San Jose,116.1964142,49,referral,12739,Windows,14,6,0,FALSE
6,San Jose,158.168546,40,conference,4485,Windows,24,6,1,TRUE
8,New York,148.8537392,42,website,11351,OSX,25,7,4,TRUE
8,Chicago,121.044327,42,email,8662,Other,23,7,3,TRUE
9,Las Vegas,118.5802657,47,referral,10506,Windows,32,7,4,TRUE
6,Los Angeles,207.4492745,51,website,13101,OSX,17,5,2,TRUE
9,Freehold,236.6275129,47,website,6871,OSX,19,6,0,TRUE
9,Tulsa,119.6231316,42,email,10797,OSX,22,6,3,TRUE
7,Freehold,167.8528742,43,conference,13641,Windows,21,6,0,FALSE
12,Albany,65.21250238,39,email,7274,Windows,28,6,3,TRUE
5,San Diego,186.6503847,51,website,5361,Windows,19,6,1,FALSE
8,Los Angeles,162.9560569,48,referral,10810,OSX,18,7,4,TRUE
6,Memphis,165.081887,45,conference,14384,Other,21,6,1,FALSE
6,Las Vegas,109.8596139,50,website,9110,Windows,17,5,0,FALSE
6,Tulsa,133.0053951,51,website,12152,Windows,26,6,2,TRUE
7,Austin,133.6795234,51,referral,8537,Windows,21,7,1,FALSE
6,Albany,162.38121,45,email,10582,Windows,12,6,0,FALSE
9,San Jose,142.452472,41,conference,13393,OSX,28,6,0,FALSE
6,New York,169.3869373,53,website,6789,Windows,18,5,0,FALSE
6,Seattle,89.85312729,42,email,11928,Windows,29,5,4,TRUE
12,San Diego,85.48423596,44,referral,6642,OSX,22,8,1,FALSE
5,Kansas City,171.5465354,37,website,12335,Windows,24,5,0,FALSE
7,Denver,60.63076571,45,conference,10399,Windows,16,6,0,FALSE
9,Tulsa,179.6416296,42,website,15133,OSX,27,6,1,TRUE
9,Albany,120.6806114,49,website,10972,Other,17,6,0,FALSE
7,Las Vegas,131.4718703,45,referral,8216,Windows,23,4,0,FALSE
5,Los Angeles,133.9449404,52,conference,6180,OSX,17,5,2,FALSE
6,Tulsa,140.7440631,36,website,9094,Windows,21,7,0,TRUE
5,Albany,92.93647398,31,referral,13913,Other,21,5,0,TRUE
8,Boston,76.87355946,44,website,10064,Windows,18,5,0,FALSE
8,Boston,114.1426312,45,website,12225,Windows,17,6,0,FALSE
6,San Diego,150.5137265,24,referral,11597,Windows,19,7,2,TRUE
5,New York,141.0599157,44,conference,6504,OSX,14,5,1,FALSE
6,Columbus,141.8299772,47,email,6303,Windows,23,6,2,FALSE
8,Memphis,74.90494567,42,email,11837,Windows,17,6,0,TRUE
7,Kansas City,184.1500639,51,referral,7611,Windows,23,7,2,TRUE
8,Boston,122.4439188,32,referral,8398,Windows,28,5,1,FALSE
9,Chicago,203.383787,44,referral,11146,OSX,24,5,0,TRUE
8,Memphis,133.9582584,48,website,11921,Windows,21,8,4,TRUE
7,San Diego,147.71011,49,email,8161,Windows,14,4,0,FALSE
8,Tulsa,227.4154628,39,referral,9010,Other,21,5,2,TRUE
5,Kansas City,196.6158196,57,conference,4574,OSX,10,5,2,FALSE
10,Memphis,262.6565528,50,email,5580,OSX,16,7,0,TRUE
8,Las Vegas,154.4915464,48,website,8187,Windows,25,6,1,TRUE
7,Los Angeles,150.5902781,41,website,11449,Windows,23,5,1,FALSE
8,Columbus,112.0769288,37,referral,8676,Windows,17,6,0,FALSE
8,Atlanta,161.5719205,43,conference,11831,OSX,31,6,0,TRUE
9,Denver,116.7700786,42,referral,8644,Windows,23,5,1,FALSE
6,Phoenix,189.5235262,48,conference,7099,Other,24,6,0,FALSE
6,Kansas City,163.7802881,48,conference,9326,Other,22,6,0,FALSE
6,Chicago,169.9482634,39,website,10679,Windows,21,7,0,FALSE
5,Columbus,160.4275645,55,referral,11307,Windows,28,7,3,TRUE
5,Phoenix,150.6550765,51,conference,8220,OSX,20,7,1,FALSE
10,Memphis,96.76647874,38,website,7487,Windows,27,7,0,FALSE
7,Freehold,163.3710247,38,referral,10669,OSX,28,6,0,TRUE
